airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-06-01,Chennai,Kolkata,11:40:00,13:55:00,135,0,no info,4667
Air India,2019-03-06,Delhi,Cochin,06:10:00,08:15:00,1565,1,no info,11038
Air India,2019-06-18,Banglore,Delhi,17:00:00,19:50:00,170,0,no info,6961
Jet Airways,2019-06-24,Delhi,Cochin,09:40:00,12:35:00,1615,2,in-flight meal not included,10368
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,21:00:00,480,1,no info,13587
Air India,2019-05-12,Kolkata,Banglore,05:50:00,23:15:00,1045,2,no info,11411
Air India,2019-05-01,Kolkata,Banglore,07:00:00,16:15:00,555,1,no info,10203
Indigo,2019-06-01,Chennai,Kolkata,11:35:00,14:00:00,145,0,no info,3858
Air India,2019-03-09,Banglore,Delhi,11:05:00,09:15:00,1330,1,no info,11077
Air India,2019-03-03,Delhi,Cochin,06:10:00,08:15:00,1565,1,no info,13348
Jet Airways,2019-04-09,Banglore,Delhi,15:50:00,18:45:00,175,0,in-flight meal not included,4544
Multiple Carriers,2019-04-09,Delhi,Cochin,10:35:00,19:15:00,520,1,no info,6106
Air India,2019-06-27,Delhi,Cochin,09:45:00,23:00:00,795,1,no info,8907
Air India,2019-06-24,Delhi,Cochin,22:00:00,19:15:00,1275,2,no info,9181
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,10:05:00,1200,1,in-flight meal not included,9663
Air Asia,2019-05-01,Kolkata,Banglore,22:50:00,01:20:00,150,0,no info,4409
Air India,2019-03-18,Banglore,Delhi,06:45:00,16:30:00,2025,2,no info,10835
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,22:05:00,750,1,no info,14151
Jet Airways,2019-06-06,Delhi,Cochin,19:30:00,04:25:00,535,2,no info,13014
Indigo,2019-03-09,Delhi,Cochin,05:35:00,08:50:00,195,0,no info,6885
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,08:15:00,1545,1,in-flight meal not included,8586
Indigo,2019-05-06,Chennai,Kolkata,22:05:00,00:25:00,140,0,no info,5277
Jet Airways,2019-03-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,in-flight meal not included,2470
Spicejet,2019-06-21,Kolkata,Banglore,09:00:00,11:25:00,145,0,no info,3873
Jet Airways,2019-03-01,Banglore,Delhi,08:00:00,18:25:00,625,1,no info,26890
Jet Airways,2019-03-21,Delhi,Cochin,05:40:00,04:25:00,1365,2,in-flight meal not included,9181
Indigo,2019-06-27,Kolkata,Banglore,22:15:00,00:50:00,155,0,no info,4804
Indigo,2019-05-18,Kolkata,Banglore,19:20:00,23:45:00,265,1,no info,3717
Jet Airways,2019-03-06,Delhi,Cochin,07:05:00,04:25:00,1280,1,no info,17234
Vistara,2019-06-09,Banglore,Delhi,11:30:00,14:20:00,170,0,no info,4668
Jet Airways,2019-03-06,Banglore,Delhi,08:00:00,07:40:00,1420,1,no info,14815
Indigo,2019-06-09,Banglore,Delhi,08:30:00,11:20:00,170,0,no info,4823
Jet Airways,2019-03-01,Banglore,Delhi,05:45:00,18:25:00,760,1,no info,26890
Spicejet,2019-03-01,Chennai,Kolkata,17:45:00,20:05:00,140,0,no info,7718
Indigo,2019-06-09,Chennai,Kolkata,22:05:00,00:25:00,140,0,no info,5277
Jet Airways,2019-05-18,Banglore,Delhi,15:15:00,18:10:00,175,0,no info,7229
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,19:00:00,1620,1,no info,14714
Spicejet,2019-06-03,Chennai,Kolkata,08:20:00,10:35:00,135,0,no info,3597
Vistara,2019-06-12,Banglore,Delhi,09:45:00,12:35:00,170,0,no info,4668
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,19:00:00,540,1,no info,10197
Air India,2019-06-12,Kolkata,Banglore,20:45:00,23:20:00,155,0,no info,4145
Spicejet,2019-05-15,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,no check-in baggage included,2175
Jet Airways,2019-06-12,Delhi,Cochin,13:00:00,19:00:00,360,1,no info,14714
Jet Airways,2019-06-03,Delhi,Cochin,09:00:00,19:00:00,600,1,no info,14714
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,21:05:00,1685,1,in-flight meal not included,10703
Spicejet,2019-06-09,Chennai,Kolkata,17:45:00,20:05:00,140,0,no check-in baggage included,3543
Air India,2019-06-03,Delhi,Cochin,16:40:00,19:15:00,1595,2,no info,9968
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,12:00:00,1025,1,in-flight meal not included,10844
Air India,2019-06-24,Banglore,Delhi,06:10:00,08:55:00,165,0,no info,6961
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,16:20:00,1575,1,in-flight meal not included,10844
Indigo,2019-04-09,Banglore,Delhi,22:10:00,01:00:00,170,0,no info,3943
Jet Airways,2019-06-27,Delhi,Cochin,09:00:00,12:35:00,1655,1,in-flight meal not included,10262
Indigo,2019-05-27,Delhi,Cochin,07:35:00,22:30:00,895,1,no info,7514
Jet Airways,2019-06-15,Delhi,Cochin,13:00:00,04:25:00,925,1,in-flight meal not included,10262
Indigo,2019-03-18,Chennai,Kolkata,19:35:00,21:55:00,140,0,no info,4332
Indigo,2019-05-15,Delhi,Cochin,05:05:00,12:10:00,425,1,no info,6818
Jet Airways,2019-03-27,Mumbai,Hyderabad,02:55:00,04:25:00,90,0,in-flight meal not included,1840
Indigo,2019-05-15,Kolkata,Banglore,17:15:00,19:50:00,155,0,no info,4804
Air India,2019-03-09,Banglore,Delhi,05:50:00,22:45:00,1015,1,no info,10657
Indigo,2019-05-03,Chennai,Kolkata,22:05:00,00:25:00,140,0,no info,5277
Jet Airways,2019-06-15,Delhi,Cochin,12:15:00,04:25:00,970,2,no info,14300
Indigo,2019-04-27,Delhi,Cochin,05:05:00,12:10:00,425,1,no info,7160
Multiple Carriers,2019-06-24,Delhi,Cochin,03:50:00,19:00:00,910,1,no info,12192
Air Asia,2019-06-24,Kolkata,Banglore,19:55:00,22:25:00,150,0,no info,3807
Indigo,2019-06-01,Delhi,Cochin,11:55:00,22:30:00,635,1,no info,6674
Multiple Carriers,2019-06-01,Delhi,Cochin,15:00:00,01:30:00,630,1,no info,13377
Air India,2019-06-15,Delhi,Cochin,22:00:00,19:15:00,1275,2,no info,10441
Indigo,2019-06-06,Banglore,Delhi,21:15:00,00:15:00,180,0,no info,3943
Multiple Carriers,2019-05-27,Delhi,Cochin,12:50:00,01:30:00,760,1,no info,6795
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,20:45:00,740,1,no info,14571
Air India,2019-03-09,Delhi,Cochin,23:00:00,07:40:00,520,1,no info,10840
Multiple Carriers,2019-06-15,Delhi,Cochin,11:40:00,19:15:00,455,1,no info,9526
Air India,2019-06-27,Delhi,Cochin,17:20:00,09:25:00,965,1,no info,7480
Multiple Carriers,2019-06-15,Delhi,Cochin,11:25:00,19:15:00,470,1,no info,8614
Jet Airways,2019-05-27,Delhi,Cochin,09:35:00,12:35:00,1620,2,no info,14657
Indigo,2019-05-18,Kolkata,Banglore,14:25:00,16:55:00,150,0,no info,5224
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,23:35:00,1585,1,in-flight meal not included,10844
Multiple Carriers,2019-05-06,Delhi,Cochin,07:30:00,19:00:00,690,1,no info,10529
Multiple Carriers,2019-05-15,Delhi,Cochin,09:15:00,19:15:00,600,1,no info,8099
Indigo,2019-05-21,Delhi,Cochin,15:00:00,01:30:00,630,1,no info,6896
Indigo,2019-05-09,Delhi,Cochin,15:10:00,20:00:00,290,1,no info,6147
Air India,2019-05-27,Delhi,Cochin,10:55:00,19:15:00,500,2,no info,13223
Spicejet,2019-06-03,Chennai,Kolkata,08:20:00,10:35:00,135,0,no check-in baggage included,3543
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,12:35:00,1235,1,no info,14714
Multiple Carriers,2019-06-03,Delhi,Cochin,09:15:00,19:00:00,585,1,no info,11622
Spicejet,2019-06-27,Kolkata,Banglore,22:20:00,00:40:00,140,0,no info,3873
Indigo,2019-04-06,Kolkata,Banglore,15:30:00,18:05:00,155,0,no info,4174
Jet Airways,2019-06-27,Delhi,Cochin,02:15:00,12:35:00,620,1,in-flight meal not included,10262
Indigo,2019-05-27,Banglore,Delhi,16:55:00,19:55:00,180,0,no info,4823
Indigo,2019-06-27,Banglore,Delhi,23:30:00,02:20:00,170,0,no info,3943
Multiple Carriers,2019-06-12,Delhi,Cochin,17:45:00,01:30:00,465,1,no info,6795
Jet Airways,2019-03-06,Banglore,Delhi,16:55:00,05:05:00,730,1,no info,16736
Multiple Carriers,2019-05-15,Delhi,Cochin,11:35:00,21:00:00,565,3,no info,16294
Jet Airways,2019-03-15,Banglore,Delhi,07:00:00,12:15:00,315,1,no info,17524
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,12:35:00,1615,2,in-flight meal not included,13029
Air India,2019-03-09,Delhi,Cochin,08:40:00,19:15:00,635,1,no info,18959
Vistara,2019-03-01,Banglore,Delhi,07:00:00,09:40:00,160,0,no info,21520
Spicejet,2019-04-06,Banglore,Delhi,21:10:00,00:05:00,175,0,no info,3971
Air India,2019-03-21,Banglore,Delhi,11:50:00,08:55:00,1265,1,no info,5092
Air India,2019-06-01,Delhi,Cochin,05:10:00,08:00:00,170,0,no info,6094
Vistara,2019-06-12,Kolkata,Banglore,17:00:00,10:45:00,1065,1,no info,8452
Spicejet,2019-05-27,Kolkata,Banglore,06:55:00,09:30:00,155,0,no info,3873
Jet Airways,2019-06-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,no info,8040
Air India,2019-04-09,Delhi,Cochin,05:55:00,07:40:00,1545,2,no info,10021
Jet Airways,2019-06-06,Delhi,Cochin,11:45:00,04:25:00,1000,2,no info,13882
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,23:25:00,1575,1,no info,13759
Indigo,2019-06-18,Kolkata,Banglore,21:25:00,00:05:00,160,0,no info,4804
Jet Airways,2019-04-03,Delhi,Cochin,02:15:00,04:25:00,1570,1,in-flight meal not included,5177
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,19:50:00,800,1,no info,12681
Jet Airways,2019-05-09,Delhi,Cochin,14:00:00,12:35:00,1355,1,in-flight meal not included,12373
Indigo,2019-05-06,Chennai,Kolkata,07:55:00,10:15:00,140,0,no info,3850
Jet Airways,2019-04-21,Banglore,Delhi,07:10:00,10:10:00,180,0,in-flight meal not included,6144
Air India,2019-05-27,Kolkata,Banglore,20:45:00,23:20:00,155,0,no info,4145
Vistara,2019-05-03,Banglore,Delhi,07:00:00,09:40:00,160,0,no info,4668
Jet Airways,2019-04-01,Kolkata,Banglore,20:25:00,10:55:00,870,1,no info,11467
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,21:00:00,480,1,no info,7408
Jet Airways,2019-06-09,Delhi,Cochin,19:45:00,04:25:00,520,1,in-flight meal not included,10577
Jet Airways,2019-06-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,in-flight meal not included,4995
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,10:05:00,1055,1,in-flight meal not included,8529
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,20:45:00,1550,1,in-flight meal not included,10844
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,12:00:00,960,1,in-flight meal not included,10844
Jet Airways,2019-06-15,Banglore,Delhi,11:10:00,14:05:00,175,0,no info,8016
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,22:35:00,1660,1,in-flight meal not included,10844
Air Asia,2019-03-03,Banglore,Delhi,05:50:00,08:40:00,170,0,no info,7074
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,22:40:00,1580,1,no info,8452
Indigo,2019-06-09,Kolkata,Banglore,22:15:00,00:50:00,155,0,no info,5224
Jet Airways,2019-03-06,Delhi,Cochin,19:45:00,04:25:00,520,1,no info,15764
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,14:25:00,1285,1,no info,14151
Indigo,2019-03-15,Banglore,Delhi,23:30:00,02:20:00,170,0,no info,8033
Indigo,2019-05-12,Kolkata,Banglore,18:05:00,23:30:00,325,1,no info,6218
Jet Airways,2019-03-06,Banglore,Delhi,21:25:00,20:20:00,1375,1,no info,17471
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,10:45:00,865,1,no info,8505
Indigo,2019-06-18,Kolkata,Banglore,04:40:00,07:15:00,155,0,no info,4804
Indigo,2019-05-27,Banglore,Delhi,08:30:00,11:20:00,170,0,no info,4823
Multiple Carriers,2019-03-27,Delhi,Cochin,10:45:00,18:50:00,485,1,no info,11622
Multiple Carriers,2019-06-27,Delhi,Cochin,19:00:00,01:30:00,390,1,no info,6795
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,1420,2,no info,9483
Indigo,2019-06-21,Banglore,Delhi,16:55:00,19:55:00,180,0,no info,4990
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,09:20:00,1495,1,in-flight meal not included,7064
Jet Airways,2019-05-27,Banglore,Delhi,11:10:00,14:05:00,175,0,in-flight meal not included,4030
Air Asia,2019-05-21,Banglore,Delhi,11:10:00,13:55:00,165,0,no info,3383
Indigo,2019-05-21,Mumbai,Hyderabad,09:10:00,10:40:00,90,0,no info,4049
Indigo,2019-03-03,Mumbai,Hyderabad,12:00:00,13:25:00,85,0,no info,5755
Jet Airways,2019-06-21,Banglore,Delhi,11:10:00,14:05:00,175,0,in-flight meal not included,5769
Air India,2019-05-18,Kolkata,Banglore,05:50:00,20:25:00,875,2,no info,12093
Multiple Carriers,2019-03-03,Delhi,Cochin,08:25:00,18:50:00,625,1,no info,15135
Air India,2019-03-21,Delhi,Cochin,21:00:00,07:40:00,640,1,no info,6902
Spicejet,2019-05-15,Banglore,Delhi,05:55:00,08:35:00,160,0,no check-in baggage included,3257
Multiple Carriers,2019-03-27,Delhi,Cochin,18:00:00,01:35:00,455,1,no info,6673
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,12:00:00,1025,1,in-flight meal not included,7064
Jet Airways,2019-03-21,Banglore,Delhi,16:55:00,10:25:00,1050,1,in-flight meal not included,7832
Air Asia,2019-04-21,Kolkata,Banglore,22:50:00,01:20:00,150,0,no info,5645
Indigo,2019-06-15,Banglore,Delhi,08:30:00,11:20:00,170,0,no info,4823
Air India,2019-06-01,Delhi,Cochin,19:45:00,19:15:00,1410,2,no info,10651
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:00:00,690,1,no info,9794
Indigo,2019-03-27,Delhi,Cochin,14:20:00,22:20:00,480,1,no info,6938
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,04:25:00,1375,2,in-flight meal not included,10368
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,19:10:00,575,1,no info,11467
Indigo,2019-05-15,Delhi,Cochin,08:30:00,21:00:00,750,1,no info,7503
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,16:20:00,635,1,in-flight meal not included,10844
Jet Airways,2019-03-27,Delhi,Cochin,13:00:00,04:25:00,925,1,in-flight meal not included,6960
Indigo,2019-05-01,Banglore,Delhi,04:00:00,06:50:00,170,0,no info,3943
Multiple Carriers,2019-03-09,Delhi,Cochin,15:15:00,01:35:00,620,1,no info,15200
Multiple Carriers,2019-03-03,Delhi,Cochin,07:05:00,15:30:00,505,1,no info,17057
Jet Airways,2019-03-21,Delhi,Cochin,05:30:00,18:50:00,2240,2,in-flight meal not included,9328
Jet Airways,2019-05-09,Delhi,Cochin,07:05:00,19:00:00,715,1,no info,15554
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,09:20:00,1010,1,no info,14178
Indigo,2019-06-06,Banglore,Delhi,08:30:00,11:20:00,170,0,no info,4823
Indigo,2019-04-24,Delhi,Cochin,05:05:00,16:10:00,665,1,no info,6171
Indigo,2019-05-18,Kolkata,Banglore,19:35:00,23:15:00,220,1,no info,4226
Jet Airways,2019-05-18,Delhi,Cochin,21:50:00,04:25:00,395,1,no info,15554
Multiple Carriers,2019-06-06,Delhi,Cochin,16:00:00,01:30:00,570,1,no info,13377
Indigo,2019-06-03,Delhi,Cochin,06:40:00,21:00:00,860,1,no info,6093
Jet Airways,2019-05-24,Banglore,Delhi,07:10:00,10:10:00,180,0,in-flight meal not included,4030
Multiple Carriers,2019-05-18,Delhi,Cochin,06:00:00,21:00:00,900,1,no info,7670
Multiple Carriers,2019-06-27,Delhi,Cochin,12:50:00,21:00:00,490,1,in-flight meal not included,6007
Indigo,2019-05-12,Mumbai,Hyderabad,02:35:00,04:05:00,90,0,no info,3175
Multiple Carriers,2019-06-01,Delhi,Cochin,12:50:00,21:00:00,490,1,no info,7005
Indigo,2019-06-01,Chennai,Kolkata,19:35:00,21:55:00,140,0,no info,3597
Jet Airways,2019-06-12,Delhi,Cochin,09:35:00,04:25:00,1130,2,no info,13292
Jet Airways,2019-06-09,Delhi,Cochin,07:05:00,19:00:00,715,1,in-flight meal not included,10262
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,19:50:00,685,1,no info,14781
Indigo,2019-04-01,Kolkata,Banglore,19:35:00,23:15:00,220,1,no info,4226
Indigo,2019-03-27,Kolkata,Banglore,10:10:00,12:55:00,165,0,no info,4148
Goair,2019-05-09,Kolkata,Banglore,23:30:00,07:45:00,495,1,no info,6095
Indigo,2019-06-06,Banglore,Delhi,18:55:00,21:50:00,175,0,no info,4990
Indigo,2019-03-03,Delhi,Cochin,04:55:00,16:10:00,675,1,no info,8513
Indigo,2019-03-09,Banglore,Delhi,17:55:00,22:55:00,300,1,no info,6351
Jet Airways,2019-03-15,Banglore,Delhi,05:45:00,16:10:00,625,1,in-flight meal not included,9134
Spicejet,2019-06-06,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,no check-in baggage included,1965
Spicejet,2019-05-12,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,no info,2017
Indigo,2019-04-09,Kolkata,Banglore,15:15:00,20:05:00,290,1,no info,4268
Indigo,2019-06-21,Delhi,Cochin,14:25:00,17:40:00,195,0,no info,5000
Jet Airways,2019-05-27,Banglore,Delhi,08:20:00,11:20:00,180,0,in-flight meal not included,4030
Indigo,2019-06-06,Banglore,Delhi,23:30:00,02:20:00,170,0,no info,4591
Goair,2019-06-06,Delhi,Cochin,14:25:00,19:35:00,310,1,no info,7870
Indigo,2019-06-09,Delhi,Cochin,15:00:00,01:30:00,630,1,no info,6316
Spicejet,2019-05-06,Chennai,Kolkata,17:45:00,20:05:00,140,0,no info,3597
Jet Airways,2019-03-09,Delhi,Cochin,16:00:00,18:50:00,1610,1,no info,16289
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,19:00:00,810,2,in-flight meal not included,10368
Jet Airways,2019-06-27,Delhi,Cochin,10:00:00,19:00:00,540,1,no info,14714
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,20:45:00,400,1,in-flight meal not included,10844
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,08:15:00,665,1,in-flight meal not included,7757
Indigo,2019-04-15,Delhi,Cochin,14:25:00,17:40:00,195,0,no info,6015
Jet Airways,2019-06-15,Delhi,Cochin,14:00:00,04:25:00,865,1,in-flight meal not included,10262
